,Average Return,Times Held,Total Return,Sector
ADANIENT.NS,0.35812694081396707,7,2.5068885856977694,Industrials
TRENT.NS,0.27859256614069255,7,1.950147962984848,Retail
ETERNAL.NS,0.2210568596337117,4,0.8842274385348468,Retail
M&M.NS,0.10031038054971286,5,0.5015519027485643,Auto
ITC.NS,0.16396839137583866,3,0.491905174127516,FMCG
SHRIRAMFIN.NS,0.07751196907030061,6,0.4650718144218037,Financials
HINDALCO.NS,0.0826480783173539,5,0.4132403915867695,Metals
TATASTEEL.NS,0.09472016167855749,4,0.37888064671422994,Metals
NTPC.NS,0.12079648191623023,3,0.3623894457486907,Energy
BAJAJ-AUTO.NS,0.1682823448396915,2,0.336564689679383,Auto
HEROMOTOCO.NS,0.07733567258344523,4,0.3093426903337809,Auto
SBIN.NS,0.08623272891122873,3,0.25869818673368616,Financials
COALINDIA.NS,0.05122755924610165,5,0.25613779623050825,Energy
RELIANCE.NS,0.23036686268948614,1,0.23036686268948614,Energy
CIPLA.NS,0.22738017160938884,1,0.22738017160938884,Other
EICHERMOT.NS,0.07550881824958806,3,0.2265264547487642,Other
LT.NS,0.21326429292654847,1,0.21326429292654847,Other
INFY.NS,0.10460166270857613,2,0.20920332541715225,IT
APOLLOHOSP.NS,0.048094316605993004,4,0.19237726642397202,Other
BHARTIARTL.NS,0.08771912182165909,2,0.17543824364331817,Telecom
POWERGRID.NS,0.1752595543191262,1,0.1752595543191262,Other
TECHM.NS,0.03450125443105325,5,0.17250627215526626,IT
ONGC.NS,0.04988985699736004,3,0.14966957099208011,Other
DRREDDY.NS,0.06582568123265575,2,0.1316513624653115,Other
BAJFINANCE.NS,0.016369522821064242,6,0.09821713692638545,Financials
ADANIPORTS.NS,0.023779650124639118,3,0.07133895037391735,Other
TITAN.NS,0.022876829081588057,2,0.045753658163176114,Other
ULTRACEMCO.NS,0.026211804868492727,1,0.026211804868492727,Other
KOTAKBANK.NS,0.012242930189045598,2,0.024485860378091195,Financials
SBILIFE.NS,0.011066755191709632,2,0.022133510383419264,Other
GRASIM.NS,-0.0011094156491441298,2,-0.0022188312982882596,Materials
HINDUNILVR.NS,-0.004622988774438952,2,-0.009245977548877904,FMCG
MARUTI.NS,-0.04060696653303397,1,-0.04060696653303397,Auto
SUNPHARMA.NS,-0.06158529761840814,1,-0.06158529761840814,Pharma
TATACONSUM.NS,-0.030993125726857085,2,-0.06198625145371417,FMCG
ICICIBANK.NS,-0.043960946544992385,2,-0.08792189308998477,Financials
HDFCLIFE.NS,-0.0501632355051968,2,-0.1003264710103936,Other
AXISBANK.NS,-0.05879361349383905,2,-0.1175872269876781,Financials
JIOFIN.NS,-0.1081106892104507,2,-0.2162213784209014,Financials
