,Average Return,Times Held,Total Return,Sector
ADANIENT.NS,0.358126937992047,7,2.5068885659443287,Industrials
TRENT.NS,0.32859331863554814,6,1.9715599118132887,Retail
ETERNAL.NS,0.2210568596337117,4,0.8842274385348468,Retail
JSWSTEEL.NS,0.1030647469254878,5,0.515323734627439,Metals
SHRIRAMFIN.NS,0.10060435986306478,5,0.5030217993153239,Financials
M&M.NS,0.10031038054971286,5,0.5015519027485643,Auto
ITC.NS,0.16396835126166365,3,0.49190505378499094,FMCG
HINDALCO.NS,0.08264807331399593,5,0.41324036656997964,Metals
COALINDIA.NS,0.09776041929659077,4,0.39104167718636307,Energy
TATASTEEL.NS,0.09472013320294426,4,0.378880532811777,Metals
BAJAJ-AUTO.NS,0.1682823448396915,2,0.336564689679383,Auto
HEROMOTOCO.NS,0.07733559995475495,4,0.3093423998190198,Auto
NTPC.NS,0.1417502568325587,2,0.2835005136651174,Energy
SBIN.NS,0.08623278351891443,3,0.2586983505567433,Financials
RELIANCE.NS,0.23036695522679929,1,0.23036695522679929,Energy
CIPLA.NS,0.22738007078723443,1,0.22738007078723443,Other
EICHERMOT.NS,0.07550885225229013,3,0.2265265567568704,Other
BEL.NS,0.04487578473259677,5,0.22437892366298384,Defence
LT.NS,0.21326429292654847,1,0.21326429292654847,Other
HCLTECH.NS,0.058792193671967086,3,0.17637658101590126,IT
POWERGRID.NS,0.17525953283476814,1,0.17525953283476814,Other
TECHM.NS,0.034501272258527685,5,0.1725063612926384,IT
ONGC.NS,0.04989006446086571,3,0.14967019338259713,Other
TITAN.NS,0.1249152710958481,1,0.1249152710958481,Other
DRREDDY.NS,0.10522281357578156,1,0.10522281357578156,Other
SBILIFE.NS,0.09248141301902746,1,0.09248141301902746,Other
ADANIPORTS.NS,0.023779660524613,3,0.071338981573839,Other
APOLLOHOSP.NS,0.02389893225935058,2,0.04779786451870116,Other
INDUSINDBK.NS,0.011564282294004746,3,0.03469284688201424,Financials
HINDUNILVR.NS,0.031227414416588495,1,0.031227414416588495,FMCG
KOTAKBANK.NS,0.012242930189045598,2,0.024485860378091195,Financials
BHARTIARTL.NS,0.02040962064522467,1,0.02040962064522467,Telecom
HDFCLIFE.NS,0.018023805757136024,1,0.018023805757136024,Other
BAJFINANCE.NS,0.0002187041790203681,3,0.0006561125370611043,Financials
GRASIM.NS,-0.001109494977308556,2,-0.002218989954617112,Materials
INFY.NS,-0.02412785090526237,1,-0.02412785090526237,IT
TATACONSUM.NS,-0.03700257485227976,1,-0.03700257485227976,FMCG
MARUTI.NS,-0.04060696653303397,1,-0.04060696653303397,Auto
WIPRO.NS,-0.026780348928059472,2,-0.053560697856118944,IT
SUNPHARMA.NS,-0.0615853017279806,1,-0.0615853017279806,Pharma
ICICIBANK.NS,-0.043960907735656585,2,-0.08792181547131317,Financials
AXISBANK.NS,-0.058793611864550455,2,-0.11758722372910091,Financials
JIOFIN.NS,-0.1081106892104507,2,-0.2162213784209014,Financials
